nombre;descripcion
Poción;Restablece ligeramente el nivel de salud.
Megapoción;Restablece moderadamente el nivel de salud.
Poción máxima;Aumenta el indicador de salud al máximo y recupera toda tu salud.
Poción antigua;Restablece la salud al máximo, y además aumenta los indicadores de salud y resistencia.
Antídoto;Cura para el veneno.
Medicina herbal;Cura de forma eficaz el veneno y restablece ligeramente la salud.
Curibaya;Baya misteriosa que cura varias plagas.
Bebida energética;Bebida aprobada por el gremio que aumenta tu resistencia. ¡También ayuda a quitar el sueño!
Ración;Comida que restablece algo de resistencia.
Filete poco hecho;Aumenta moderadamente la resistencia. La carne está aún muy roja por dentro.
Filete al punto;Aumenta moderadamente la resistencia y la mantiene al máximo durante más tiempo. ¡Carne hecha como debe ser!
Carne quemada;Aumenta ligeramente la resistencia. Puedes comerla rápidamente.
Bebida fría;Bebida que otorga una resistencia temporal al calor extremo.
Bebida caliente;Bebida que otorga una resistencia temporal al frío extremo.
Nutrientes;Aumentan muy ligeramente el nivel máximo de salud.
Meganutrientes;Aumentan ligeramente el nivel máximo de salud.
Inmunizador;Medicina que aumenta la capacidad natural de recuperación.
Cecina de Astera;Jugosa carne cocida por el Chef de Astera. Cura sangrados y mejora tu recuperación natural de salud.
Zumo de poder;Disminuye la sensación de cansancio. Reduce el gasto de resistencia por un tiempo.
Semilla de poder;Mejora el flujo energético y aumenta temporalmente el ataque.
Droga demoníaca;Aumenta el ataque al otorgar la fuerza de un demonio al que la toma.
Megadroga demoníaca;Aumenta el ataque aún más que la droga demoníaca.
Píldora de poder;Una píldora fortalecedora que te otorga el poder de un dios feroz.
Semilla armadura;Endurece los tejidos y aumenta temporalmente la defensa.
Piel de armadura;Aumenta la defensa al endurecer la piel como una armadura de piedra.
Piel de armadura+;Aumenta la defensa más incluso que la piel de armadura.
Píldora armadura;Una píldora que aporta temporalmente a tu piel la fortaleza del metal.
Polvo de vida;Crea una neblina curativa en la zona en torno al usuario.
Fuente de vida;Produce una nube de propiedades curativas alrededor del que la usa.
Polvo de hierbas;Polvo exótico que crea una neblina en torno a la zona de uso, restablece la salud y elimina el veneno.
Polvo de demonio;Polvo exótico que crea una neblina en torno a la zona de uso y refuerza temporalmente los ataques.
Polvo de cáscara;Polvo exótico que crea una neblina en torno a la zona de uso y refuerza temporalmente la defensa.
Miel;Miel muy nutritiva. Combínala con pociones para crear megapociones de gran potencia.
Hierba;Ingrediente básico de pociones.
Hierba antídoto;Ingrediente básico de antídotos.
Hierba de fuego;Planta maravillosa con propiedades inflamables. Útil para la fabricación de explosivos.
Helechoflor;Las hojas de esta planta contienen mucha agua. Se usa para crear munición de agua.
Hierba de nieve;Una planta que irradia aire helado. Úsala en combinaciones para crear munición de hielo.
Hierba somnífera;Planta con propiedades somníferas. Con ella se elaboran somníferos.
Hiedra;Una planta ultraligera y extremadamente fuerte, útil para hacer trampas de escollo.
Guindilla;Un vegetal que sirve como ingrediente para bebidas calientes.
Brote nocturno;Una planta con propiedades curativas. Combínala con un bicho divino para desatar su potencial.
Nuez de humo;Fruto seco que hace mucho humo. Las propiedades del humo cambian al mezclarlo con otros objetos.
Baya antidragón;Baya misteriosa que, según cuenta la leyenda, detestan los dragones. Parte esencial de la munición draco.
Seta azul;Una seta imbuida de efectos potenciadores. Se usa para crear objetos curativos.
Mandrágora;Peligroso hongo que al parecer drena la energía vital. Ten mucho cuidado. Parte esencial de una poción máxima.
Nitroseta;Seta poco frecuente con la capacidad de generar un calor abrasador. Parte esencial de la pólvora.
Mancha del diablo;Hongo rarísimo que late con gran calor. Con las bombas de barril, crea explosiones tremendas.
Paraliseta;Seta con un efecto paralizante. Parte esencial de una bola tranquilizante.
Hongo;Un hongo venenoso que puede utilizarse como veneno en cuchillas.
Seta excitante;Seta con un aroma muy extraño. ¿Qué pasará si te la comes...? Parte esencial de bolas transportadoras.
Fresquiñón;Este champiñón es el ingrediente principal de las bebidas frías.
Bicho amargo;Insecto de fuerte sabor con un poder curativo natural. Se usa como ingrediente en muchas medicinas.
Luminsecto;Insecto que emite un potente destello justo antes de morir. Parte esencial de una cápsula flash.
Bicho divino;Dicen que este insecto vive mil años. Combínalo con otros objetos para añadir sus propiedades al polvo.
