base_name_en;rank;condition_en;item_en;stack;percentage
Aptonoth;LR;Cortado: Cuerpo;Carne cruda;1;100.0
Aptonoth;HR;Cortado: Cuerpo;Carne cruda;1;100.0
Jagras;LR;Cortado: Cuerpo;Piel de Jagras;1;50.0
Jagras;LR;Cortado: Cuerpo;Escama de Jagras;1;30.0
Jagras;LR;Cortado: Cuerpo;Garra afilada;1;20.0
Jagras;LR;Investigación (Bronce);Piel de Jagras;1;40.0
Jagras;LR;Investigación (Bronce);Escama de Jagras;1;20.0
Jagras;LR;Investigación (Bronce);Garra afilada;1;20.0
Jagras;LR;Investigación (Bronce);Hueso monstruo pequeño;2;20.0
Jagras;HR;Cortado: Cuerpo;Piel de Jagras+;1;50.0
Jagras;HR;Cortado: Cuerpo;Escama de Jagras+;1;30.0
Jagras;HR;Cortado: Cuerpo;Garra perforante;1;20.0
Jagras;HR;Investigación (Bronce);Piel de Jagras+;1;40.0
Jagras;HR;Investigación (Bronce);Escama de Jagras;1;20.0
Jagras;HR;Investigación (Bronce);Garra perforante;1;20.0
Jagras;HR;Investigación (Bronce);Hueso recio;2;20.0
Mernos;LR;Cortado: Cuerpo;Piel de dracoalado;1;70.0
Mernos;LR;Cortado: Cuerpo;Carne cruda;1;30.0
Mernos;LR;Investigación (Bronce);Piel de dracoalado;1;30.0
Mernos;LR;Investigación (Bronce);Hueso monstruo pequeño;1;25.0
Mernos;LR;Investigación (Bronce);Piel cálida;1;25.0
Mernos;LR;Investigación (Bronce);Carne cruda;2;20.0
Mernos;HR;Cortado: Cuerpo;Piel de dracoalado+;1;70.0
Mernos;HR;Cortado: Cuerpo;Carne cruda;1;30.0
Mernos;HR;Investigación (Bronce);Piel de dracoalado+;1;30.0
Mernos;HR;Investigación (Bronce);Hueso recio;1;25.0
Mernos;HR;Investigación (Bronce);Piel de alta calidad;1;25.0
Mernos;HR;Investigación (Bronce);Carne cruda;4;20.0
Vespoid;LR;Cortado: Cuerpo;Caparazón de Vespoid;1;42.0
Vespoid;LR;Cortado: Cuerpo;Ala de Vespoid;1;35.0
Vespoid;LR;Cortado: Cuerpo;Fluido de monstruo;1;23.0
Vespoid;LR;Investigación (Bronce);Caparazón de Vespoid;1;30.0
Vespoid;LR;Investigación (Bronce);Ala de Vespoid;1;30.0
Vespoid;LR;Investigación (Bronce);Fluido de monstruo;1;25.0
Vespoid;LR;Investigación (Bronce);Miel;3;15.0
Vespoid;HR;Cortado: Cuerpo;Coraza de Vespoid;1;42.0
Vespoid;HR;Cortado: Cuerpo;Ala interior de Vespoid;1;35.0
Vespoid;HR;Cortado: Cuerpo;Caldo de monstruo;1;23.0
Vespoid;HR;Investigación (Bronce);Coraza de Vespoid;1;28.0
Vespoid;HR;Investigación (Bronce);Ala interior de Vespoid;1;24.0
Vespoid;HR;Investigación (Bronce);Caldo de monstruo;1;22.0
Vespoid;HR;Investigación (Bronce);Miel;6;14.0
Vespoid;HR;Investigación (Bronce);Fluido de monstruo;2;12.0
Musgorrino;LR;Cortado: Cuerpo;Piel de Musgorrino;1;100.0
Musgorrino;HR;Cortado: Cuerpo;Piel de Musgorrino;1;100.0
Apceros;LR;Cortado: Cuerpo;Carne cruda;1;100.0
Apceros;HR;Cortado: Cuerpo;Carne cruda;1;100.0
Kestodon;LR;Cortado: Cuerpo;Caparazón de Kestodon;1;70.0
Kestodon;LR;Cortado: Cuerpo;Crin de Kestodon;1;30.0
Kestodon;LR;Investigación (Bronce);Caparazón de Kestodon;1;44.0
Kestodon;LR;Investigación (Bronce);Crin de Kestodon;1;30.0
Kestodon;LR;Investigación (Bronce);Hueso monstruo pequeño;2;26.0
Kestodon;HR;Cortado: Cuerpo;Coraza de Kestodon;1;70.0
Kestodon;HR;Cortado: Cuerpo;Crin de Kestodon;1;30.0
Kestodon;HR;Investigación (Bronce);Coraza de Kestodon;1;44.0
Kestodon;HR;Investigación (Bronce);Crin de Kestodon;1;30.0
Kestodon;HR;Investigación (Bronce);Hueso recio;1;26.0
Kestodon;MR;Investigación (Bronce);Crin de Kestodon;1;35.0
Kestodon;MR;Investigación (Bronce);Cascarón de Kestodon;1;26.0
Kestodon;MR;Investigación (Bronce);Hueso escogido;1;25.0
Kestodon;MR;Investigación (Bronce);Hueso antiguo;2;14.0
Noios;LR;Cortado: Cuerpo;Vesícula lanzagritos;1;70.0
Noios;LR;Cortado: Cuerpo;Piel de dracoalado;1;30.0
Noios;LR;Investigación (Bronce);Vesícula lanzagritos;2;40.0
Noios;LR;Investigación (Bronce);Piel de dracoalado;1;20.0
Noios;LR;Investigación (Bronce);Hueso monstruo pequeño;1;20.0
Noios;LR;Investigación (Bronce);Piel cálida;1;20.0
Noios;HR;Cortado: Cuerpo;Vesícula lanzagritos;1;70.0
Noios;HR;Cortado: Cuerpo;Piel de dracoalado+;1;30.0
Noios;HR;Investigación (Bronce);Vesícula lanzagritos;2;40.0
Noios;HR;Investigación (Bronce);Piel de dracoalado;1;20.0
Noios;HR;Investigación (Bronce);Hueso monstruo pequeño;1;20.0
Noios;HR;Investigación (Bronce);Piel de alta calidad;1;20.0
Gajau;LR;Cortado: Cuerpo;Piel de Gajau;1;75.0
Gajau;LR;Cortado: Cuerpo;Bigote de Gajau;1;25.0
Gajau;LR;Investigación (Bronce);Piel de Gajau;1;45.0
Gajau;LR;Investigación (Bronce);Hierro;1;25.0
Gajau;LR;Investigación (Bronce);Bigote de Gajau;1;15.0
Gajau;LR;Investigación (Bronce);Machalita;1;15.0
Gajau;HR;Cortado: Cuerpo;Escama de Gajau;1;75.0
Gajau;HR;Cortado: Cuerpo;Gran bigote de Gajau;1;25.0
Gajau;HR;Investigación (Bronce);Escama de Gajau;1;45.0
Gajau;HR;Investigación (Bronce);Machalita;1;25.0
Gajau;HR;Investigación (Bronce);Gran bigote de Gajau;1;15.0
Gajau;HR;Investigación (Bronce);Dragonita;1;15.0
Kelbi;LR;Cortado: Cuerpo;Piel cálida;1;60.0
Kelbi;LR;Cortado: Cuerpo;Hígado blanco;1;25.0
Kelbi;LR;Cortado: Cuerpo;Carne cruda;1;15.0
Kelbi;LR;Destello brillante;Cuerno de Kelbi;1;100.0
Kelbi;LR;Cortado: Cuerno;Cuerno de Kelbi;1;100.0
Kelbi;HR;Cortado: Cuerpo;Piel de alta calidad;1;60.0
Kelbi;HR;Cortado: Cuerpo;Hígado blanco;1;25.0
Kelbi;HR;Cortado: Cuerpo;Carne cruda;1;15.0
Kelbi;HR;Destello brillante;Cuerno de Kelbi;1;100.0
Kelbi;HR;Cortado: Cuerno;Cuerno de Kelbi;1;100.0
Raphinos;LR;Cortado: Cuerpo;Piel de dracoalado;1;70.0
Raphinos;LR;Cortado: Cuerpo;Carne cruda;1;30.0
Raphinos;LR;Investigación (Bronce);Piel de dracoalado;1;20.0
Raphinos;LR;Investigación (Bronce);Carne cruda;1;20.0
Raphinos;LR;Investigación (Bronce);Curibaya;3;15.0
Raphinos;LR;Investigación (Bronce);Hueso monstruo pequeño;2;15.0
Raphinos;LR;Investigación (Bronce);Hueso recio;1;15.0
Raphinos;LR;Investigación (Bronce);Hueso deforme;1;15.0
Raphinos;HR;Cortado: Cuerpo;Piel de dracoalado+;1;70.0
Raphinos;HR;Cortado: Cuerpo;Carne cruda;1;30.0
Raphinos;HR;Investigación (Bronce);Piel de dracoalado+;1;20.0
Raphinos;HR;Investigación (Bronce);Carne cruda;1;20.0
Raphinos;HR;Investigación (Bronce);Curibaya;3;15.0
Raphinos;HR;Investigación (Bronce);Hueso recio;2;15.0
Raphinos;HR;Investigación (Bronce);Hueso afilado;1;15.0
Raphinos;HR;Investigación (Bronce);Hueso deforme;1;15.0
Shamos;LR;Cortado: Cuerpo;Piel de Shamos;1;50.0
Shamos;LR;Cortado: Cuerpo;Escama de Shamos;1;30.0
Shamos;LR;Cortado: Cuerpo;Garra afilada;1;20.0
Shamos;LR;Investigación (Bronce);Piel de Shamos;1;30.0
Shamos;LR;Investigación (Bronce);Garra afilada;1;24.0
Shamos;LR;Investigación (Bronce);Escama de Shamos;1;22.0
Shamos;LR;Investigación (Bronce);Cristal coralino;1;12.0
Shamos;LR;Investigación (Bronce);Hueso recio;1;12.0
Shamos;HR;Cortado: Cuerpo;Piel de Shamos+;1;50.0
Shamos;HR;Cortado: Cuerpo;Escama de Shamos+;1;30.0
Shamos;HR;Cortado: Cuerpo;Garra perforante;1;20.0
Shamos;HR;Investigación (Bronce);Piel de Shamos+;1;30.0
Shamos;HR;Investigación (Bronce);Garra perforante;1;24.0
Shamos;HR;Investigación (Bronce);Escama de Shamos+;1;22.0
Shamos;HR;Investigación (Bronce);Hueso afilado;1;12.0
Shamos;HR;Investigación (Bronce);Cristal coralino;2;12.0
Girros;LR;Cortado: Cuerpo;Piel de Girros;1;50.0
Girros;LR;Cortado: Cuerpo;Escama de Girros;1;30.0
Girros;LR;Cortado: Cuerpo;Colmillo de Girros;1;20.0
Girros;LR;Investigación (Bronce);Piel de Girros;1;30.0
Girros;LR;Investigación (Bronce);Escama de Girros;1;20.0
Girros;LR;Investigación (Bronce);Colmillo de Girros;1;20.0
Girros;LR;Investigación (Bronce);Garra afilada;2;15.0
Girros;LR;Investigación (Bronce);Hueso recio;1;15.0
Girros;HR;Cortado: Cuerpo;Piel de Girros+;1;50.0
Girros;HR;Cortado: Cuerpo;Escama de Girros+;1;30.0
Girros;HR;Cortado: Cuerpo;Colmillo de Girros;1;20.0
Girros;HR;Investigación (Bronce);Piel de Girros+;1;30.0
Girros;HR;Investigación (Bronce);Escama de Girros+;1;20.0
Girros;HR;Investigación (Bronce);Colmillo de Girros;1;20.0
Girros;HR;Investigación (Bronce);Garra perforante;2;15.0
Girros;HR;Investigación (Bronce);Hueso escogido;1;15.0
Hornetaur;LR;Cortado: Cuerpo;Caparazón de Hornetaur;1;40.0
Hornetaur;LR;Cortado: Cuerpo;Ala de Hornetaur;1;32.0
Hornetaur;LR;Cortado: Cuerpo;Fluido de monstruo;1;20.0
Hornetaur;LR;Cortado: Cuerpo;Cabeza de Hornetaur;1;8.0
Hornetaur;LR;Investigación (Bronce);Caparazón de Hornetaur;1;40.0
Hornetaur;LR;Investigación (Bronce);Ala de Hornetaur;1;32.0
Hornetaur;LR;Investigación (Bronce);Fluido de monstruo;1;20.0
Hornetaur;LR;Investigación (Bronce);Cabeza de Hornetaur;1;8.0
Hornetaur;HR;Cortado: Cuerpo;Coraza de Hornetaur;1;40.0
Hornetaur;HR;Cortado: Cuerpo;Intraala de Hornetaur;1;32.0
Hornetaur;HR;Cortado: Cuerpo;Caldo de monstruo;1;20.0
Hornetaur;HR;Cortado: Cuerpo;Cabeza de Hornetaur;1;8.0
Hornetaur;HR;Investigación (Bronce);Coraza de Hornetaur;1;40.0
Hornetaur;HR;Investigación (Bronce);Intraala de Hornetaur;1;32.0
Hornetaur;HR;Investigación (Bronce);Caldo de monstruo;1;20.0
Hornetaur;HR;Investigación (Bronce);Cabeza de Hornetaur;1;8.0
Gastodon;HR;Cortado: Cuerpo;Coraza de Gastodon;1;70.0
Gastodon;HR;Cortado: Cuerpo;Cuerno de Gastodon;1;30.0
Barnos;LR;Cortado: Cuerpo;Piel de dracoalado;1;100.0
Barnos;LR;Investigación (Bronce);Piel de dracoalado;1;30.0
Barnos;LR;Investigación (Bronce);Carne cruda;1;20.0
Barnos;LR;Investigación (Bronce);Curibaya;3;20.0
Barnos;LR;Investigación (Bronce);Hueso monstruo pequeño;2;15.0
Barnos;LR;Investigación (Bronce);Hueso recio;1;15.0
Barnos;HR;Cortado: Cuerpo;Piel de Barnos+;1;70.0
Barnos;HR;Cortado: Cuerpo;Garra de Barnos;1;30.0
Gran Jagras;LR;Quitar;Great Escama de Jagras;1;100.0
Gran Jagras;LR;Cotado / Captura;Great Escama de Jagras;1;36.0
Gran Jagras;LR;Cotado / Captura;Great Piel de Jagras;1;28.0
Gran Jagras;LR;Cotado / Captura;Garra de Gran Jagras;1;21.0
Gran Jagras;LR;Cotado / Captura;Melena de Gran Jagras;1;15.0
Gran Jagras;LR;Romper: Cabeza;Melena de Gran Jagras;1;100.0
Gran Jagras;LR;Romper: Pata delantera;Garra de Gran Jagras;1;100.0
Gran Jagras;LR;Romper: Estomago;Great Piel de Jagras;2;100.0
Gran Jagras;LR;Destello brillante;Great Escama de Jagras;1;50.0
Gran Jagras;LR;Destello brillante;Garra de Gran Jagras;1;28.0
Gran Jagras;LR;Destello brillante;Lágrima de wyvern;1;22.0
Gran Jagras;LR;Camarada;Great Escama de Jagras;1;50.0
Gran Jagras;LR;Camarada;Garra de Gran Jagras;1;28.0
Gran Jagras;LR;Camarada;Lágrima de wyvern;1;22.0
Gran Jagras;LR;Cortabolsas;Great Escama de Jagras;1;43.0
Gran Jagras;LR;Cortabolsas;Great Piel de Jagras;1;35.0
Gran Jagras;LR;Cortabolsas;Melena de Gran Jagras;1;22.0
Gran Jagras;LR;Manto de bandido ;Escama astillada;1;70.0
Gran Jagras;LR;Manto de bandido ;Escama grande;1;30.0
Gran Jagras;LR;Investigación (Bronce);Great Piel de Jagras;1;32.0
Gran Jagras;LR;Investigación (Bronce);Great Escama de Jagras;1;23.0
Gran Jagras;LR;Investigación (Bronce);Melena de Gran Jagras;1;16.0
Gran Jagras;LR;Investigación (Bronce);Hierro;2;10.0
Gran Jagras;LR;Investigación (Bronce);Hueso monstruo pequeño;2;10.0
Gran Jagras;LR;Investigación (Bronce);Garra de Gran Jagras;1;9.0
Gran Jagras;LR;Investigación (Plata);Melena de Gran Jagras;1;30.0
Gran Jagras;LR;Investigación (Plata);Great Piel de Jagras;2;25.0
Gran Jagras;LR;Investigación (Plata);Garra de Gran Jagras;1;25.0
Gran Jagras;LR;Investigación (Plata);Great Escama de Jagras;2;20.0
Gran Jagras;LR;Investigación (Oro);Melena de Gran Jagras;1;40.0
Gran Jagras;LR;Investigación (Oro);Garra de Gran Jagras;1;30.0
Gran Jagras;LR;Investigación (Oro);Great Piel de Jagras;3;16.0
